"Masc, Sing, Free","Masc, Sing, Bound","Masc, Plural, Free","Masc, Plural, Bound","Fem, Sing, Free","Fem, Sing, Bound","Fem, Plural, Free","Fem, Plural, Bound"
!aʁad,!waʁad,!aʁadw,!waʁadn,!taʁatt,!taʁatt,!taʁadin,!taʁadin
abukir,ubukir,ibukirn,ibukirn,tabukirt,tabukirt,tibukirin,tibukirin
imi,jimi,imawn,jimawn,timit,timit,timawin,timawin
agzzar,ugzzar,igzzarn,igzzarn,tagzzart,tgzzart,tigzzarin,tgzzarin
263,,,,,,,
asaqqun,usaqqun,isuqqan,isuqqan,tasaqqunt,tsaqqunt,tisuqqan,tsuqqan
aχχummi,uχχummi,,,,,,
aχχummu,uχχummu,,,,,,
270,,,,,,,
!abluz,!ubluz,!iblzan,!iblzan,,,,
allaʁ,wallaʁ,allaʁn,wallaʁn,tallaʁt,tallaʁt,tallaʁin,tallaʁin
aflufu,uflufu,iflufutn,iflufutn,,,,
aʕbbud,uʕbbud,iʕbbud,iʕbbud,taʕbbutt,tʕbbutt,tiʕbbad,tʕbbad
!abggar,!ubggar,!ibggarn,!ibggarn,!tabggart,!tbggart,!tibggarin,!tbggarin
amugaj,umugaj,imugajn,imugajn,tamugajt,tmugatj,timugajin,tmugajin
!asħurru,!usħurru,!isħurrutn,!isħurrutn,,,,
275,,,,,,,
!asskkid,!usskkid,!isskkidn,!isskkidn,!tasskkitt,!tsskkitt,!tisskkidin,!tsskkidin
iʁil,jiʁil,iʁaln,iʁaln,tiʁilt,tiʁilt,tiʁalin,tiʁalin
algammu,ulgammu,ilgumma,ilgumma,talgammut,tlgammut,tilgumma,tilgumma
!aqttaʕ,!uqttaʕ,!iqttaʕn,!iqttaʕn,!taqttaʕt,!tqttaʕt,!tiqttaʕin,!tqttaʕin
280,,,,,,,
,,,,taqqurt,taqqurt,,
!amħrug,!umħrug,!imħrag,!imħrag,!tamħrugt,!tmħrugt,!timħrag,!timħrag
aħrrig,uħrrig,iħrrign,iħrrign,,,,
aʃddir,aʃddir,iʃddirn,iʃddirn,,,,
aslħam,uslħam,islħamn,islħamn,taslħamt,tslħamn,tislħamin,tislħamin
aχnif,uχnif,iχnfan,iχnfan,,,,
aχidus,aχidus,iχidas,iχidas,,,,
!aħdu,!uħdu,,,,,,
agʒdmmur,ugʒdmmur,igʒdmmar,igʒdmmar,,,,
!ibbindr,!ibbindr,!ibbandriwn,!ibbandriwn,,,,
alkʷnnaʃ,ulkʷnnaʃ,ilkʷnnaʃn,ilkʷnnaʃn,talkʷnnaʃt,tlkʷnnaʃt,tilkʷnnaʃin,tlkʷnnaʃin
!aħttid,!uħttid,!iħttidn,!iħttidn,,,,
,,,,!taħzzart,!tħzzart,,
aħsasbi,uħsasbi,iħsasbin,iħsasbin,taħsasbit,tħsasbit,tiħsasbin,tiħsasbin
200,,,,,,,
aʕkkaz,uʕkkaz,iʕkkazn,iʕkkazn,taʕkkazt,tʕkkazt,tiʕkkazin,tiʕkkazin
aqlmun,uqlmun,iqʷlman,iqʷlman,taqlmunt,tqlmunt,tiqʷlmin,tqʷlmin
,,,,tasqaqajt,tasqaqajt,,
aqllal,uqllal,iqllaln,iqllaln,taqllalt,tqllalt,tiqllalin,tqllalin
!imʃd,!imʃd,!imʃdn,!imʃdn,!timʃtt,!tmʃtt,!imʃd,!imʃd
aqrʃal,uqrʃal,iqrʃaln,iqrʃaln,taqrʃalt,tqrʃalt,tiqrʃalin,tqrʃalin
306,,,,,,,
!ikid,!ikid,!ikadiwn,!ikadiwn,!tikida,!tkida,!TikadiwIn,!TikadiwIn
306,,,,,,,
uzun,wuzun,uzunan,uzunan,tuzunt,tuzunt,tuzunin,tuzunin
ʒʒlliʒ,ʒʒlliʒ,,,taʒʒlliʒt,tʒʒlliʒt,tiʒʒlliʒin,tʒʒlliʒin
amazzr,umazzr,imuzzar,imuzzar,,,,
amrrag,umrrag,imrragn,imrragn,,,,
amsnaj,umsnaj,imsnajn,imsnajn,tamsnajt,tmsnajt,timsnajin,tmsnajin
amnaj,umnaj,imnajn,imnajn,tamnajt,tmnajt,timnajin,tmnajin
!amkrud,!umkrud,!imkrad,!imkrad,!tamkrutt,!tmkrutt,!timkrad,!mkrad
!abukd,!ubukd,,,,,,
ibikks,ibikks,ibakksn,ibakksn,tibikkst,tibikkst,tibakksin,tbakksin
,,,,taggʷst,taggʷst,tuggas,tuggas
aʕzri,uʕzri,iʕzraj,iʕzraj,taʕzrit,tʕzrit,tiʕzraj,tʕzraj
abʃʃar,ubʃʃar,ibʃʃarn,ibʃʃarn,tabʃʃart,tbʃʃart,tibʃʃarin,tbʃʃarin
imsgilli,imsgilli,imsgillitn,imsgillitn,timsgillit,tmsgillit,timsgillitin,tmsgillitin
imgilli,imgilli,imgillitn,imgillitn,timgillit,timgillit,timgillitin,tmgillitin
amrgul,umrgul,imrgʷal,imrgʷal,tamrgult,tmrgult,timrgʷal,tmrgʷal
iʁd,jiʁd,,,,,,
uʃʃn,wuʃʃn,wuʃʃn,wuʃʃn,wuʃʃn,wuʃʃn,wuʃʃn,wuʃʃn
325,,,,,,,
amlħaf,amlħaf,imlħafn,imlħafn,tamlħaft,tmlħaft,tmlħafin,tmlħafin
,,,,rrʁut,rrʁut,,
,,,,tirʁi,tirʁi,,
aħanu,uħanu,iħuna,iħuna,taħanut,tħanut,tiħuna,tiħuna
!arʕm,!urʕm,!irʕman,!irʕman,!tarʕmt,!trʕmt,!tirʕmin,!trʕmin
arffak,urffak,irffakn,irffakn,tarffakt,trffakt,tirffakin,trffakin
igr,jigr,igran,igran,,,,
agʷrsl,ugʷrsl,igʷrsal,igʷrsal,,,,
urar,wurar,urarn,urarn,,,,
amarg,umarg,imurag,imurag,,,,
amarir,umarir,imarirn,imarirn,tamarirt,tmarirt,timaririn,tmaririn
imtʃi,imtʃi,imtʃan,imtʃan,,,,
akuz,wakuz,akuzn,wakuz,,,,
awgga,wawgga,awggatn,wawggatn,tawggat,tawggat,tawggatin,tawggatin
!midrus,!midrus,,,,,,
askrz,uskrz,iskraz,iskraz,taskrzt,tskrzt,tiskraz,tskraz
awwullu,wawwullu,iwwulla,iwwulla,tawwullut,tawwullut,tiwwulla,tiwwulla
,,,,tagʷmrt,tgʷmrt,,
,,,,tangʷmrt,tngʷmrt,,
