Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
350.0,talb,dars,[dar-s],[dat-3S],
351.0,talb,ja,[jat],[one:F],
352.0,talb,ttχssajt,[t-χssaj-t],[FSCS-pumpkin],
353.0,talb,wwargan,[w-w-argan],[of FFSS-argan tree],N
354.0,,New_Sentence,New_Sentence,New_Sentence,
355.0,talb,ar,[ar],[AR],
356.0,talb,as,[a-s],[dat:3S],
357.0,talb,ttinn,[tt-inn],[Obj:3S-deic],
358.0,talb,ittgga,[i-tt-gga],[3MS-tt-do:Impf],V
359.0,talb,ajlliħ,[ajlliħ],[until],
360.0,talb,iffu,[i-ffu],[3MS-become:pf],V
361.0,talb,lħal,[l-ħal],[the time],N
362.0,,New_Sentence,New_Sentence,New_Sentence,
363.0,talb,taʃkinn,[t-aʃk-inn],[3FS-come in:pf-deic],V
364.0,talb,jat,[ja-t],[one:F],
365.0,talb,tmʁart,[t-mʁar-t],[FSCS-woman],N
366.0,talb,tawi,[t-awi],[3FS-bring:pf],V
367.0,talb,jasnn,[i-a-s-nn],[to-dat-3P],
368.0,talb,l!fdor,[l-!fdor],[the breakfast],N
369.0,talb,ar,[ar],[and],
370.0,talb,as,[a-s],[dat:3MS],
371.0,talb,taqqra,[t-aqqra],[3MS-learn:Impf],V
372.0,talb,sidi,[sidi],[my lord],N
373.0,talb,!brahim,[!brahim],[Brahim],N
374.0,talb,sidi,[sidi],[my lord],N
375.0,talb,!brahim,[!brahim],[Brahim],N
376.0,talb,jini,[i-ini],[3MS-say:ao],V
377.0,talb,jas,[i-a-s],[to-dat-3S],
378.0,talb,wa,[wa],[wa],
379.0,talb,ʁrid,[ʁr-id],[call:ao-deic],
380.0,talb,i,[i],[to],
381.0,talb,lmqqddm,[l-mqqddm],[the chief],N
382.0,talb,d,[d],[and],
383.0,talb,lʒmaʕt,[l-ʒmaʕ-t],[the-group-F],N
384.0,talb,ula,[ula],[or],
385.0,talb,kullu,[kullu],[all],
386.0,talb,ajt,[ajt],[the people],N
