Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
201.0,lxdmt,lχdmt,[l-χdm-t],[job],N
202.0,lxdmt,n,[n],[of],
203.0,lxdmt,mrrakwʃ,[mrrakwʃ],[Marrakech],N
204.0,lxdmt,tʃqqa,[t-ʃqqa],[3FS-is hard:pf],V
205.0,lxdmt,ʃwija,[ʃwija],[little],
206.0,lxdmt,inna,[inna],[what],
207.0,lxdmt,t,[d],[deic],
208.0,lxdmt,trurt,[t-rur-t],[2S-win:ao-2S],V
209.0,lxdmt,ar,[ar],[AR],
210.0,lxdmt,ti,[t],[3MS:Obj],
211.0,lxdmt,tʃttat,[t-ʃtt-at],[2MS-eat:Impf],V
212.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
213.0,lxdmt,ijh,[ijh],[yes],
214.0,lxdmt,a,[a],[Voc],
215.0,lxdmt,sidi,[sidi],[my lord],N
216.0,lxdmt,lmdint,[l-mdin-t],[the city],N
217.0,lxdmt,ar,[ar],[AR],
218.0,lxdmt,tʃttat,[t-ʃtt-at],[2S-eat:Impf-2S],V
219.0,lxdmt,zz,[zz],[from],
220.0,lxdmt,liʒart,[l-iʒar-t],[a pay],N
221.0,lxdmt,nk,[n-k],[PossDet:2MS],
222.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
223.0,lxdmt,awa,[awa],[so],
224.0,lxdmt,!lla,[!llah],[Allah],N
225.0,lxdmt,jhnni,[i-hnni],[3MS-live in peace:aoj],V
226.0,lxdmt,k,[k],[Obj:2MS],
227.0,lxdmt,a,[a],[Voc],
228.0,lxdmt,muħmmad,[muħmmad],[Mohmmad],N
229.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
230.0,lxdmt,!lla,[!llah],[Allah],N
231.0,lxdmt,jhnni,[i-hnni],[3MS-live in peace:aoj],V
232.0,lxdmt,k,[k],[Obj:2MS],
233.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
234.0,lxdmt,iχ,[iχ],[if],
235.0,lxdmt,ki,[ki],[you],N
236.0,lxdmt,nn,[nn],[deic],
237.0,lxdmt,tiwi,[t-iwi],[3FS-bring:pf],V
238.0,lxdmt,luqt,[l-uqt],[the time],N
239.0,lxdmt,tsqsat,[t-sqsa-t],[2S-ask:pf-2S],V
240.0,lxdmt,gigi,[gig-i],[in-1S],
241.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
242.0,lxdmt,ʁ,[ʁ],[at],
243.0,lxdmt,mani,[mani],[where],
244.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
245.0,lxdmt,dar,[dar],[at],
246.0,lxdmt,blla,[blla],[Bella],
247.0,lxdmt,u,[u],[son of],
248.0,lxdmt,ʕli,[ʕli],[Ali],N
249.0,lxdmt,ʁ,[ʁ],[at],
250.0,lxdmt,lqhwa,[l-qhwa],[the coffee],N
251.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
