Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
191.0,aHttab,nsfss,[n-sfss],[1P-silence:Impf],N
192.0,aHttab,ddrari,[ddrari],[children],N
193.0,,New_Sentence,New_Sentence,New_Sentence,
194.0,aHttab,inna,[i-nna],[3MS-say:pf],V
195.0,aHttab,jas,[i-a-s],[to-dat-3S],
196.0,aHttab,ha,[ha],[here is],
197.0,aHttab,jan,[ja-n],[one:M],
198.0,aHttab,!ttir,[!ttir],[a bird],N
199.0,aHttab,iwiχ,[iwi-χ],[bring:pf-1S],V
200.0,aHttab,tid,[t-id],[Obj:3S-deic],
201.0,aHttab,i,[i],[to],
202.0,aHttab,ddrari,[ddrari],[children],N
203.0,aHttab,mas,[ma-s],[what-with],
204.0,aHttab,at,[ad],[AD:Comp],
205.0,aHttab,tlʕabn,[t-lʕab-n],[3MS-play:ao],V
206.0,aHttab,ikun,[ikun],[maybe],
207.0,aHttab,akkw,[akkw],[not even],
208.0,aHttab,ur,[ur],[neg],
209.0,aHttab,add,[ad],[AD:Comp],
210.0,aHttab,ssmkwtin,[ss-mkwt-in],[caus-forget:ao-3PM],V
211.0,aHttab,amttʃu,[a-mttʃu],[MFSS-food],N
212.0,aHttab,ard,[ard],[until],
213.0,aHttab,!sbaħ,[!sbaħ],[morning],N
214.0,aHttab,ann,[a-nn],[DemDet-Deic:that],
215.0,aHttab,nʃʃaʕ,[nʃʃaʕ],[if God want it],V
216.0,aHttab,!llah,[!llah],[God],N
217.0,,New_Sentence,New_Sentence,New_Sentence,
218.0,aHttab,awa,[awa],[so],
219.0,aHttab,if,[if],[if],
220.0,aHttab,!ttir,[!ttir],[a bird],N
221.0,aHttab,lli,[lli],[RelPro],
222.0,aHttab,tazzanin,[t-azzan-in],[PMFS-children],N
223.0,aHttab,ar,[ar],[AR],
224.0,aHttab,srs,[sr-s],[to-3S],
225.0,aHttab,ttlʕabn,[tt-lʕab-n],[tt-play:Impf-3PM],V
226.0,,New_Sentence,New_Sentence,New_Sentence,
227.0,aHttab,!ttir,[!ttir],[a bird],N
228.0,aHttab,lli,[lli],[RelPro],
229.0,aHttab,tlkmt,[t-lkm-t],[3MS-arrive:ao],V
230.0,aHttab,luqt,[l-uqt],[the time],N
231.0,aHttab,lliʁ,[lliʁ],[RelPro],
232.0,aHttab,ra,[ra],[ra],
233.0,aHttab,!jsdr,[j-!sdr],[3MS-lay an egg:Impf],V
234.0,aHttab,jakwi,[i-akwi],[3MS:go down:ao],V
235.0,aHttab,s,[s],[with],
236.0,aHttab,ja,[jan],[one:M],
237.0,aHttab,llmakan,[l l-makan],[the place],N
238.0,aHttab,i!sdr,[i-!sdr],[3MS-lay an egg:Impf],V
239.0,aHttab,jat,[jat],[one:F],
240.0,aHttab,talwizt,[ta-lwiz-t],[FFSS-gold piece],N
241.0,aHttab,asin,[asi-n],[take away:ao-3PM],V
242.0,aHttab,tt,[tt],[Obj:3FS],
243.0,aHttab,tazzanin,[t-azzan-in],[PMFS-children],N
244.0,aHttab,mlin,[mli-n],[show:pf-3PM],V
245.0,aHttab,tt,[tt],[Obj:3S],
246.0,aHttab,ibbwattsn,[i-bbwa-tts-n],[dat-father-poss3P],N
247.0,aHttab,nnan,[nna-n],[say:pf-3PM],V
248.0,aHttab,as,[a-s],[dat-3S],
249.0,aHttab,ha,[ha],[here is],
250.0,aHttab,ma,[ma],[what],
251.0,aHttab,j!sdr,[i-!sdr],[3MS-put:pf],V
252.0,aHttab,a,[a],[voc],
253.0,aHttab,bbwa,[bbwa],[father],N
254.0,aHttab,!ttir,[!ttir],[a bird],N
255.0,aHttab,lli,[lli],[RelPro],
256.0,aHttab,jaʁd,[i-aʁ-d],[to-dat:1P-deic],
257.0,aHttab,tiwit,[t-iwi-t],[2MS-bring:ao],V
258.0,,New_Sentence,New_Sentence,New_Sentence,
259.0,aHttab,jafi,[i-afi],[3MS-find:pf],V
260.0,aHttab,tinn,[t-inn],[Obj-deic],
261.0,aHttab,iga,[i-ga],[3MS-do:pf],V
262.0,aHttab,tallwizt,[ta-llwiz-t],[FFSS-gold pieces],N
263.0,,New_Sentence,New_Sentence,New_Sentence,
264.0,aHttab,jawi,[i-awi],[3MS-bring:ao],V
265.0,aHttab,tt,[tt],[Obj:3S],
266.0,aHttab,s,[s],[to],
267.0,aHttab,ssuq,[ssuq],[market],N
268.0,aHttab,i!qqdo,[i-!qqdo],[3MS-supply:ao],V
269.0,aHttab,i,[i],[dat],
270.0,aHttab,ddrari,[ddrari],[children],N
271.0,aHttab,lli,[lli],[RelPro],
272.0,aHttab,ns,[n-s],[PossDet:3S],
273.0,aHttab,lχir,[l-χir],[lot of good],N
274.0,aHttab,ʃuf,[ʃuf],[look],
275.0,aHttab,kijji,[kijji],[2MS],
276.0,aHttab,!rrzq,[!rrzq],[livelihood],N
277.0,aHttab,iʁ,[iʁ],[if],
278.0,aHttab,rat,[rad],[RAD:Fut],
279.0,aHttab,tid,[t-id],[t-id],
280.0,aHttab,isbajn,[i-sbajn],[3MS-reveal:ao],V
281.0,aHttab,!rbbi,[!rbbi],[God],N
282.0,aHttab,i,[i],[dat],
283.0,aHttab,kra,[kra],[some],
284.0,aHttab,lχlq,[l-χlq],[creature],N
285.0,,New_Sentence,New_Sentence,New_Sentence,
286.0,aHttab,Jasid,[i-asi-d],[3MS-bring:ao-deic],V
287.0,aHttab,!ttir,[!ttir],[a bird],N
288.0,aHttab,lli,[lli],[RelPro],
289.0,aHttab,i!tthalla,[i-!tthalla],[3MS-cure:pf],V
290.0,aHttab,gis,[gi-s],[loc:3MS],
291.0,aHttab,i!ħft,[i-!ħfd],[3MS-keep:pf],V
292.0,aHttab,t,[t],[Obj:3S],
293.0,aHttab,ar,[ar],[AR],
294.0,aHttab,as,[a-s],[dat:3MS],
295.0,aHttab,ittsddar,[i-tt-sddar],[3MS-tt-lay:Impf],V
296.0,aHttab,tallwizt,[ta-llwiz-t],[FFSS-gold pieces],N
297.0,aHttab,i,[i],[every],
298.0,aHttab,wass,[w-ass],[SMCS-day],N
299.0,,New_Sentence,New_Sentence,New_Sentence,
300.0,aHttab,!ssniʕt,[!ssniʕt],[practice],N
301.0,aHttab,ns,[n-s],[PossDet:3S],
302.0,aHttab,ifl,[i-fl],[3MS-leave:pf],V
303.0,aHttab,tt,[tt],[Obj:3S],
304.0,,New_Sentence,New_Sentence,New_Sentence,
305.0,aHttab,!ikʃʃudn,[i-!kʃʃud-n],[PMFS-logs],N
